City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
220,avera,US,33.194,-82.5271,78.85,40,30,4.97,1681335439
221,charters towers,AU,-20.1,146.2667,76.21,80,64,9.64,1681335439
222,baghdad,IQ,33.3406,44.4009,60.71,72,40,5.75,1681335397
223,atig,RU,56.6931,59.4227,36.19,80,3,4.47,1681335440
224,kavieng,PG,-2.5744,150.7967,80.11,80,100,9.71,1681335440
225,sao filipe,CV,14.8961,-24.4956,72.66,77,20,6.46,1681335441
226,orotukan,RU,62.2667,151.7,7.21,73,28,1.7,1681335441
227,alofi,NU,-19.0595,-169.9187,82.29,69,40,14.97,1681335442
228,ucluelet,CA,48.9329,-125.5528,50.31,78,3,5.99,1681335187
229,fukue,JP,32.6881,128.8419,59.11,51,32,4.68,1681335442
230,nanortalik,GL,60.1432,-45.2371,32.95,90,100,1.88,1681335443
231,saint-pierre,RE,-21.3393,55.4781,76.68,78,0,4.61,1681335396
232,ulladulla,AU,-35.35,150.4667,56.77,83,97,12.68,1681335443
233,wenling,CN,28.3669,121.36,55.0,61,32,6.11,1681335443
234,sorland,NO,67.667,12.6934,42.66,84,100,18.68,1681335444
235,beloha,MG,-25.1667,45.05,69.31,94,0,4.56,1681335445
236,bokoro,TD,12.3807,17.0568,85.55,13,80,16.46,1681335446
237,caravelas,BR,-17.7125,-39.2481,75.76,88,37,5.28,1681335446
238,shingu,JP,33.7333,135.9833,52.61,72,0,5.7,1681335446
239,ponta do sol,PT,32.6667,-17.1,65.03,76,17,7.43,1681335447
240,tweed,CA,44.4751,-77.3162,78.06,50,32,11.05,1681335447
241,rodino,RU,52.5,80.25,37.22,50,100,19.24,1681335448
242,taoudenni,ML,22.6783,-3.9836,82.8,8,43,7.11,1681335448
243,okhotsk,RU,59.3833,143.3,13.73,95,79,6.13,1681335448
244,gat,IL,31.61,34.7642,54.28,100,9,11.14,1681335448
245,mizdah,LY,31.4451,12.9801,63.73,15,0,3.71,1681335448
246,saint stephen,GB,50.3333,-4.9,48.47,71,75,28.77,1681335449
247,katherine,AU,-14.4667,132.2667,75.52,100,92,0.0,1681335450
248,juba,SS,4.8517,31.5825,84.63,44,90,4.21,1681335450
249,baykit,RU,61.67,96.37,9.66,97,100,4.23,1681335450
250,pervomayskoye,RU,43.919,46.7102,57.72,73,69,8.63,1681335451
251,chokurdakh,RU,70.6333,147.9167,-0.81,93,91,5.55,1681335451
252,hay river,CA,60.8156,-115.7999,33.76,74,20,8.05,1681335451
253,ilinskoye-khovanskoye,RU,56.9718,39.7684,46.4,63,99,4.25,1681335452
254,seoul,KR,37.5683,126.9778,42.24,81,0,8.05,1681335214
255,port augusta,AU,-32.5,137.7667,57.13,77,28,3.44,1681335453
256,longyearbyen,SJ,78.2186,15.6401,31.84,74,75,9.22,1681335453
257,mayo,US,38.8876,-76.5119,84.67,29,0,12.66,1681335381
258,burevestnik,RU,56.144,43.7883,40.75,70,0,0.0,1681335454
259,lavrentiya,RU,65.5833,-171.0,5.38,81,77,3.11,1681335454
260,yumen,CN,40.2833,97.2,44.76,38,100,15.9,1681335454
261,esperance,AU,-33.8667,121.9,62.98,71,0,8.28,1681335455
262,alihe,CN,50.5667,123.7167,25.45,75,12,2.82,1681335455
263,brae,GB,60.3964,-1.353,42.26,84,43,14.38,1681335456
264,vardo,NO,70.3705,31.1107,30.18,74,55,19.57,1681335456
265,victoria,HK,22.2855,114.1577,74.19,88,99,5.01,1681335272
266,trairi,BR,-3.2778,-39.2689,77.45,82,75,6.17,1681335175
267,luganville,VU,-15.5333,167.1667,83.93,73,88,3.56,1681335456
268,coquimbo,CL,-29.9533,-71.3436,65.93,72,20,10.36,1681335456
269,cherskiy,RU,68.75,161.3,-5.26,95,100,5.14,1681335456
270,ulaangom,MN,49.9811,92.0667,21.04,52,7,1.97,1681335457
271,yuli,NG,9.6989,10.2744,86.95,27,58,4.03,1681335457
272,cockburn town,TC,21.4612,-71.1419,78.53,77,7,12.59,1681335458
273,pampas,PE,-12.4,-74.9,56.82,77,98,6.46,1681335458
274,kaspiyskiy,RU,45.3929,47.3707,51.35,82,59,0.98,1681335458
275,loyga,RU,61.0784,44.6075,29.73,94,93,9.89,1681335459
276,sao miguel do araguaia,BR,-13.275,-50.1628,76.32,84,84,0.07,1681335459
277,nalhati,IN,24.3,87.8167,82.72,17,0,7.87,1681335459
278,methoni,GR,36.8197,21.7049,57.22,79,0,14.74,1681335459
279,avarua,CK,-21.2078,-159.775,80.65,74,61,8.05,1681335459
280,nyurba,RU,63.2842,118.3319,20.7,97,100,3.4,1681335459
281,lebanon,US,36.2081,-86.2911,79.02,27,0,4.61,1681335176
282,haines junction,CA,60.7522,-137.5108,39.15,35,100,3.44,1681335460
283,naze,JP,28.3667,129.4833,61.72,71,55,10.22,1681335460
284,banyo,CM,6.75,11.8167,72.75,65,100,1.05,1681335460
285,terra santa,BR,-2.1042,-56.4869,78.66,88,72,2.95,1681335460
286,tual,ID,-5.6667,132.75,83.25,74,71,7.74,1681335461
287,todos santos,MX,23.45,-110.2167,69.44,77,80,9.91,1681335461
288,sterling,US,39.0062,-77.4286,85.19,26,20,16.11,1681335309
289,khatanga,RU,71.9667,102.5,11.55,82,66,16.55,1681335461
290,abu samrah,SY,35.3029,37.1841,49.39,82,89,22.06,1681335461
291,adrar,MR,20.5022,-10.0711,73.4,54,91,15.03,1681335461
292,turukhansk,RU,65.8167,87.9833,-21.84,100,100,3.65,1681335462
293,bethel,US,41.3712,-73.414,82.49,29,0,9.22,1681335462
294,porto novo,BJ,6.4965,2.6036,82.31,80,47,7.96,1681335462
295,meulaboh,ID,4.1363,96.1285,76.62,89,79,4.59,1681335462
296,cidreira,BR,-30.1811,-50.2056,76.75,71,57,6.49,1681335462
297,bereda,ES,43.2686,-7.5406,42.15,96,29,2.77,1681335463
298,hithadhoo,MV,-0.6,73.0833,82.67,70,12,3.67,1681335463
299,ambilobe,MG,-13.2,49.05,75.72,88,89,1.01,1681335463
300,steinkjer,NO,64.193,11.3851,43.52,86,86,15.43,1681335463
301,te anau,NZ,-45.4167,167.7167,52.41,92,99,3.96,1681335463
302,norman wells,CA,65.282,-126.8329,33.84,51,75,8.05,1681335463
303,bilma,NE,18.6853,12.9164,75.56,10,61,7.45,1681335464
304,labuhan,ID,-6.8844,112.2051,78.13,88,100,7.58,1681335464
305,tiassale,CI,5.8983,-4.8283,77.54,88,43,3.51,1681335464
306,danielskuil,ZA,-28.1887,23.5395,54.93,19,100,2.3,1681335464
307,canandaigua,US,42.8742,-77.288,78.57,64,1,17.6,1681335464
308,aklavik,CA,68.2191,-135.0107,5.0,43,75,6.91,1681335465
309,sayansk,RU,54.1088,102.1648,16.93,90,46,2.82,1681335465
310,canon city,US,38.441,-105.2424,87.17,10,0,5.99,1681335344
311,kurtamysh,RU,54.9103,64.4319,41.65,66,15,8.7,1681335465
312,bubaque,GW,11.2833,-15.8333,76.93,77,80,16.55,1681335465
313,carberry,CA,49.8689,-99.3602,46.63,49,100,14.63,1681335465
314,lebu,CL,-37.6167,-73.65,58.01,86,100,7.29,1681335465
315,idrinskoye,RU,54.3708,92.1358,24.55,76,53,4.27,1681335466
316,novooleksiyivka,UA,46.2269,34.6428,46.53,91,95,7.96,1681335466
317,juneau,US,58.3019,-134.4197,39.42,90,100,16.11,1681335466
318,poum,NC,-20.2333,164.0167,79.07,77,4,7.31,1681335466
319,constitucion,CL,-35.3333,-72.4167,57.65,86,77,5.57,1681335467
320,kurilsk,RU,45.2333,147.8833,37.92,58,100,7.14,1681335467
321,bien unido,PH,10.1373,124.3776,77.02,81,4,3.91,1681335467
322,nampula,MZ,-15.1165,39.2666,69.75,100,100,3.44,1681335407
323,nhulunbuy,AU,-12.2333,136.7667,77.61,94,61,0.0,1681335467
324,nara,JP,34.6851,135.8049,47.8,76,0,0.43,1681335467
325,banda aceh,ID,5.5577,95.3222,79.84,82,80,6.6,1681335467
326,bastia,FR,42.6667,9.3333,57.29,86,75,3.44,1681335467
327,jardim,BR,-21.4803,-56.1381,75.65,86,3,2.93,1681335468
328,svetlogorsk,BY,52.6333,29.7333,47.7,88,100,13.27,1681335468
329,yellowknife,CA,62.456,-114.3525,27.12,74,75,8.05,1681335302
330,borujerd,IR,33.8973,48.7516,55.63,96,100,13.38,1681335468
331,goma,CD,-1.6792,29.2228,62.26,89,100,3.15,1681335468
332,cervo,ES,43.6702,-7.4101,47.97,74,28,14.67,1681335468
333,aktau,KZ,43.65,51.2,54.18,80,31,13.51,1681335468
334,banjar,ID,-8.19,114.9675,77.5,93,99,4.03,1681335469
335,gizo,SB,-8.103,156.8419,79.66,81,95,2.57,1681335469
336,magdug,PH,6.5476,126.0951,81.05,80,37,4.72,1681335469
337,zyryanka,RU,65.75,150.85,2.59,90,90,3.29,1681335469
338,blankenburg,DE,51.7833,10.95,42.08,94,75,6.71,1681335469
339,beira,MZ,-19.8436,34.8389,78.89,78,20,6.91,1681335469
340,shenjiamen,CN,29.9576,122.298,54.79,83,35,9.6,1681335469
341,barra,BR,-11.0894,-43.1417,81.86,45,31,2.93,1681335469
342,vanimo,PG,-2.6741,141.3028,78.4,82,74,0.87,1681335470
343,saint-augustin,CA,51.226,-58.6502,38.07,88,100,2.8,1681335470
344,almaznyy,RU,48.0448,40.045,53.2,63,100,12.46,1681335470
345,rawdon,CA,46.0501,-73.7159,57.15,68,100,3.29,1681335470
346,wailuku,US,20.8911,-156.5047,81.55,64,20,24.16,1681335470
347,klaksvik,FO,62.2266,-6.589,43.72,86,99,23.15,1681335470
348,talnakh,RU,69.4865,88.3972,-13.31,98,100,5.53,1681335471
349,anastacio,BR,-20.4836,-55.8069,76.87,86,51,2.73,1681335400
350,faya,SA,18.3851,42.4509,60.91,65,9,8.39,1681335471
351,cangzhou,CN,38.3167,116.8667,59.32,55,100,11.41,1681335471
352,amurzet,RU,47.6967,131.0981,36.79,49,99,7.9,1681335471
353,kodino,RU,63.7198,39.6447,17.49,85,57,7.67,1681335471
354,maniitsoq,GL,65.4167,-52.9,28.53,85,23,9.46,1681335472
355,san carlos del zulia,VE,9.0,-71.9135,84.34,68,95,6.73,1681335472
356,makakilo city,US,21.3469,-158.0858,80.92,63,20,16.11,1681335472
357,diu,IN,20.7141,70.9822,81.81,45,77,3.42,1681335473
358,los llanos de aridane,ES,28.6585,-17.9182,64.15,77,2,16.11,1681335473
359,ossora,RU,59.2353,163.0719,9.95,73,35,3.33,1681335473
360,guider,CM,9.9342,13.9486,87.82,17,68,6.82,1681335473
361,uelzen,DE,52.9667,10.5667,46.49,94,80,7.43,1681335473
362,pevek,RU,69.7008,170.3133,-4.2,91,88,3.96,1681335474
363,minbu,MM,20.1833,94.8833,82.22,41,1,3.51,1681335474
364,pemangkat,ID,1.1667,108.9667,75.81,89,99,2.64,1681335474
365,dingle,PH,10.9995,122.6711,74.03,83,78,1.57,1681335474
366,arman,RU,59.7,150.1667,12.02,76,11,6.91,1681335474
